hotel_id,Hotel_Name,city,location,contact,total_rooms
H_287,The Comfort Cove Inn,Noida,Sector 18,270.185.1067,174
H_288,Blissful Meadows Hotel,Delhi,Saket,807-412-0948x18139,293
H_289,Starlight Suites & Spa,Mumbai,Andheri,001-718-956-9070,43
H_290,The Pearl Palace Hotel,Delhi,Saket,(462)095-2004,169
H_291,Golden Horizon Resort,Lucknow,Hazratganj,+1-617-063-0489,271
H_292,Majestic View Inn,Delhi,Connaught Place,868.700.7942,165
H_293,Horizon Heights Hotel,Pune,Kothrud,+1-463-985-5474,245
H_294,The Cozy Nook Inn,Noida,Sector 18,681.180.7156x9562,46
H_295,Lush Green Retreats Hotel,Noida,Sector 62,+1-433-750-4793x0361,78
H_296,Serene Shores Resort,Delhi,Karol Bagh,8948706056,271
H_297,Aqua Vista Hotel & Spa,Delhi,Saket,001-036-133-2541,47
H_298,Charming Cottages Inn,Mumbai,Bandra,199.717.9110,175
H_299,Heavenly Haven Hotel,Delhi,Connaught Place,(110)804-6619x63990,80
H_300,Sunrise Ridge Resort,Kolkata,Park Street,+1-845-679-7232x0024,135
